policy_chunk,section,value_target,value_condition_declaration,value_action,value_beneficiary,value_assessor,value_type,value_proposition_short,value_proposition_long
de-montfort-university.md-8,Scope & Definitions,data,if continuing value,should be published/shared,research community,not specified,conditional value,"data, if continuing value, should be published/shared","data, if continuing value, should be published/shared for the benefit of the research community"
edinburgh-napier-university.md-10,Roles & Responsibilities,data,if long-term value,should be retained,not specified,"funder, legal or discipline requirements",conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the not specified"
eth-zurich.md-14,Storage / Safeguarding / Backup,data,is valuable,should be preserved,not specified,university management,intrinsic value,"data, is valuable, should be preserved","data, is valuable, should be preserved for the benefit of the not specified"
eth-zurich.md-14,Storage / Safeguarding / Backup,data,is valuable,should be archived,not specified,university management,intrinsic value,"data, is valuable, should be archived","data, is valuable, should be archived for the benefit of the not specified"
faculty-of-applied-sciences-at-technical-university-delft.md-10,Roles & Responsibilities,data management,if best practices are followed,value is added,researcher,data steward,conditional value,"data management, if best practices are followed, value is added","data management, if best practices are followed, value is added for the benefit of the researcher"
faculty-of-technology-policy-and-management-at-the-technical-university-delft.md-15,Roles & Responsibilities,data management,if best practices are followed,value is added,researcher,data steward,conditional value,"data management, if best practices are followed, value is added","data management, if best practices are followed, value is added for the benefit of the researcher"
faculty-of-technology-policy-and-management-at-the-technical-university-delft.md-19,Scope & Definitions,values (societal/ethical),not applicable,not applicable,not applicable,university management,normative values,"values (societal/ethical), not applicable, not applicable","values (societal/ethical), not applicable, not applicable for the benefit of the not applicable"
hasselt-university.md-30,Storage / Safeguarding / Backup,data,if valuable,should be archived,not specified,not specified,conditional value,"data, if valuable, should be archived","data, if valuable, should be archived for the benefit of the not specified"
hasselt-university.md-31,"Retention, Archiving, & Disposal",data,if long-term value,should be preserved,not specified,researcher,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
hasselt-university.md-31,"Retention, Archiving, & Disposal",data,if substantiates published findings,should be preserved,not specified,researcher,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the not specified"
hasselt-university.md-35,"Retention, Archiving, & Disposal",data,if there are costs,should be archived,not specified,not specified,conditional value,"data, if there are costs, should be archived","data, if there are costs, should be archived for the benefit of the not specified"
helmholtz-munich.md-1,Preamble / Introduction / Background,data,if best practices are followed,value is added,future research,not specified,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the future research"
huron-university-usa-in-london.md-11,Purpose / Objective,data management,if best practices are followed,value is added,researcher,university management,conditional value,"data management, if best practices are followed, value is added","data management, if best practices are followed, value is added for the benefit of the researcher"
huron-university-usa-in-london.md-11,Purpose / Objective,data management,if best practices are followed,value is added,research community,university management,conditional value,"data management, if best practices are followed, value is added","data management, if best practices are followed, value is added for the benefit of the research community"
iscte---instituto-universitario-de-lisboa.md-1,Preamble / Introduction / Background,data,is valuable,because it supports academic principles,not specified,university management,intrinsic value,"data, is valuable, because it supports academic principles","data, is valuable, because it supports academic principles for the benefit of the not specified"
iscte---instituto-universitario-de-lisboa.md-11,General provisions / Guiding principles,data,if valuable,should be preserved,researcher,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be preserved","data, if valuable, should be preserved for the benefit of the researcher"
iscte---instituto-universitario-de-lisboa.md-11,General provisions / Guiding principles,data,if valuable,should be preserved,research community,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be preserved","data, if valuable, should be preserved for the benefit of the research community"
johannes-kepler-university-linz.md-1,Purpose / Objective,data management,is valuable,because it supports academic principles,research,university management,intrinsic value,"data management, is valuable, because it supports academic principles","data management, is valuable, because it supports academic principles for the benefit of the research"
johannes-kepler-university-linz.md-1,Purpose / Objective,data management,is valuable,because it supports academic principles,society,university management,intrinsic value,"data management, is valuable, because it supports academic principles","data management, is valuable, because it supports academic principles for the benefit of the society"
karlstad-university.md-8,"Retention, Archiving, & Disposal",data,if valuable,should be archived,future research,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be archived","data, if valuable, should be archived for the benefit of the future research"
kings-college-london.md-5,General provisions / Guiding principles,data,is valuable,because validates research findings,education,university management,intrinsic value,"data, is valuable, because validates research findings","data, is valuable, because validates research findings for the benefit of the education"
kings-college-london.md-5,General provisions / Guiding principles,data,is valuable,because validates research findings,future research,university management,intrinsic value,"data, is valuable, because validates research findings","data, is valuable, because validates research findings for the benefit of the future research"
kth-royal-institute-of-technology.md-4,Data Management Plan,data,if valuable,should be preserved,future research,"funder, legal or discipline requirements",conditional value,"data, if valuable, should be preserved","data, if valuable, should be preserved for the benefit of the future research"
kth-royal-institute-of-technology.md-5,Research Collaborations,data,if commercially valuable,should follow institutional protocol,university,researcher,conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the university"
leeds-trinity-university.md-1,Preamble / Introduction / Background,data,is valuable,"because supports research, science and knowledge",not specified,university management,intrinsic value,"data, is valuable, because supports research, science and knowledge","data, is valuable, because supports research, science and knowledge for the benefit of the not specified"
london-school-of-hygiene--tropical-medicine-university-of-london.md-4,Purpose / Objective,data,is a valuable asset,because validates research findings,research,university management,intrinsic value,"data, is a valuable asset, because validates research findings","data, is a valuable asset, because validates research findings for the benefit of the research"
london-school-of-hygiene--tropical-medicine-university-of-london.md-4,Purpose / Objective,data,is a valuable asset,because validates research findings,society,university management,intrinsic value,"data, is a valuable asset, because validates research findings","data, is a valuable asset, because validates research findings for the benefit of the society"
loughborough-university.md-1,General provisions / Guiding principles,data,if continuing value,should follow institutional protocol,researcher,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should follow institutional protocol","data, if continuing value, should follow institutional protocol for the benefit of the researcher"
loughborough-university.md-1,General provisions / Guiding principles,data,if continuing value,should follow institutional protocol,research community,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should follow institutional protocol","data, if continuing value, should follow institutional protocol for the benefit of the research community"
loughborough-university.md-3,Roles & Responsibilities,data,if valuable,should follow institutional protocol,education,pi / supervisor,conditional value,"data, if valuable, should follow institutional protocol","data, if valuable, should follow institutional protocol for the benefit of the education"
loughborough-university.md-3,Roles & Responsibilities,data,if valuable,should follow institutional protocol,future research,pi / supervisor,conditional value,"data, if valuable, should follow institutional protocol","data, if valuable, should follow institutional protocol for the benefit of the future research"
lund-university.md-17,Storage / Safeguarding / Backup,data,if continuing value,should be archived,not specified,researcher,conditional value,"data, if continuing value, should be archived","data, if continuing value, should be archived for the benefit of the not specified"
lund-university.md-17,Storage / Safeguarding / Backup,associated materials,if continuing value,should be archived,not specified,researcher,conditional value,"associated materials, if continuing value, should be archived","associated materials, if continuing value, should be archived for the benefit of the not specified"
manchester-metropolitan-university-mmu.md-8,Roles & Responsibilities,data,if long-term value,should be archived,not specified,pi / supervisor,conditional value,"data, if long-term value, should be archived","data, if long-term value, should be archived for the benefit of the not specified"
medizinische-universität-graz.md-2,Scope & Definitions,associated materials,not applicable,not applicable,not applicable,not applicable,definition,"associated materials, not applicable, not applicable","associated materials, not applicable, not applicable for the benefit of the not applicable"
medizinische-universität-graz.md-3,Preamble / Introduction / Background,data,have long-term value,should remain accessible,education,university management,intrinsic value,"data, have long-term value, should remain accessible","data, have long-term value, should remain accessible for the benefit of the education"
medizinische-universität-graz.md-3,Preamble / Introduction / Background,data,have long-term value,should remain accessible,research,university management,intrinsic value,"data, have long-term value, should remain accessible","data, have long-term value, should remain accessible for the benefit of the research"
medizinische-universität-graz.md-3,Preamble / Introduction / Background,data,have long-term value,should remain accessible,society,university management,intrinsic value,"data, have long-term value, should remain accessible","data, have long-term value, should remain accessible for the benefit of the society"
middlesex-university.md-3,Preamble / Introduction / Background,data,if continuing value,should be managed,not specified,university management,conditional value,"data, if continuing value, should be managed","data, if continuing value, should be managed for the benefit of the not specified"
newcastle-university.md-1,General provisions / Guiding principles,data,if commercially valuable,should follow institutional protocol,not specified,research support unit,conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the not specified"
newcastle-university.md-20,IP commercialization / Knowledge transfer,data,if commercially valuable,should follow institutional protocol,university,research support unit,conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the university"
newcastle-university.md-23,Ensuring access / Sharing,data,if long-term value,should remain accessible,not specified,university management,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the not specified"
newcastle-university.md-23,Ensuring access / Sharing,data,if substantiates published findings,should remain accessible,not specified,university management,conditional value,"data, if substantiates published findings, should remain accessible","data, if substantiates published findings, should remain accessible for the benefit of the not specified"
newcastle-university.md-26,Scope & Definitions,associated materials,it refers to ethical or normative values,not applicable,not applicable,not specified,normative values,"associated materials, it refers to ethical or normative values, not applicable","associated materials, it refers to ethical or normative values, not applicable for the benefit of the not applicable"
queen-margaret-university-edinburgh.md-1,Scope & Definitions,data,is a valuable asset,because it supports academic principles,not specified,university management,intrinsic value,"data, is a valuable asset, because it supports academic principles","data, is a valuable asset, because it supports academic principles for the benefit of the not specified"
queen-margaret-university-edinburgh.md-4,General provisions / Guiding principles,data,if long-term value,should follow institutional protocol,university,pi / supervisor,conditional value,"data, if long-term value, should follow institutional protocol","data, if long-term value, should follow institutional protocol for the benefit of the university"
queen-margaret-university-edinburgh.md-4,General provisions / Guiding principles,data,if long-term value,should remain accessible,university,pi / supervisor,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the university"
queen-mary-university-of-london.md-1,Preamble / Introduction / Background,data,if long-term value,should remain accessible,not specified,not specified,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the not specified"
queen-mary-university-of-london.md-2,General provisions / Guiding principles,data,if best practices are followed,value is added,society,not specified,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the society"
queen-mary-university-of-london.md-2,General provisions / Guiding principles,data,if best practices are followed,value is added,economy,not specified,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the economy"
qutech.md-12,Roles & Responsibilities,data management,if best practices are followed,value is added,researcher,data steward,conditional value,"data management, if best practices are followed, value is added","data management, if best practices are followed, value is added for the benefit of the researcher"
robert-gordon-university.md-1,Purpose / Objective,research,if best practices are followed,maximises academic value,not specified,university management,conditional value,"research, if best practices are followed, maximises academic value","research, if best practices are followed, maximises academic value for the benefit of the not specified"
robert-gordon-university.md-4,Preamble / Introduction / Background,research outputs,if long-term value,this policy applies,not specified,university management,conditional value,"research outputs, if long-term value, this policy applies","research outputs, if long-term value, this policy applies for the benefit of the not specified"
royal-college-of-art.md-1,Preamble / Introduction / Background,data,if best practices are followed,value is added,not specified,university management,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the not specified"
royal-college-of-art.md-13,General provisions / Guiding principles,research outputs,if best practices are followed,value is added,not specified,university management,conditional value,"research outputs, if best practices are followed, value is added","research outputs, if best practices are followed, value is added for the benefit of the not specified"
royal-college-of-art.md-14,General provisions / Guiding principles,data,if long-term value,should be preserved,future research,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the future research"
royal-college-of-art.md-14,General provisions / Guiding principles,data,if long-term value,should remain accessible,future research,not specified,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the future research"
sheffield-hallam-university.md-0,Purpose / Objective,data,is a valuable asset,because it supports academic principles,not specified,alignment to frameworks and norms,intrinsic value,"data, is a valuable asset, because it supports academic principles","data, is a valuable asset, because it supports academic principles for the benefit of the not specified"
sheffield-hallam-university.md-5,"Retention, Archiving, & Disposal",data,if long-term value,should be preserved,university,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the university"
sheffield-hallam-university.md-5,"Retention, Archiving, & Disposal",data,if long-term value,should be published/shared,university,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the university"
sheffield-hallam-university.md-5,"Retention, Archiving, & Disposal",data,if substantiates published findings,should be preserved,university,not specified,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the university"
sheffield-hallam-university.md-5,"Retention, Archiving, & Disposal",data,if substantiates published findings,should be published/shared,university,not specified,conditional value,"data, if substantiates published findings, should be published/shared","data, if substantiates published findings, should be published/shared for the benefit of the university"
swedish-university-of-agricultural-sciences.md-6,General provisions / Guiding principles,data,if best practices are followed,value is added,research community,not specified,conditional value,"data, if best practices are followed, value is added","data, if best practices are followed, value is added for the benefit of the research community"
technical-university-of-denmark.md-28,Roles & Responsibilities,data,if substantiates published findings,should be preserved,not specified,researcher,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the not specified"
technical-university-of-denmark.md-28,Roles & Responsibilities,associated materials,if substantiates published findings,should be preserved,not specified,researcher,conditional value,"associated materials, if substantiates published findings, should be preserved","associated materials, if substantiates published findings, should be preserved for the benefit of the not specified"
technical-university-vienna.md-1,Preamble / Introduction / Background,policy,is valuable,this policy applies,future research,university management,intrinsic value,"policy, is valuable, this policy applies","policy, is valuable, this policy applies for the benefit of the future research"
technical-university-vienna.md-2,Preamble / Introduction / Background,data,have long-term value,because validates research findings,academia,university management,intrinsic value,"data, have long-term value, because validates research findings","data, have long-term value, because validates research findings for the benefit of the academia"
technical-university-vienna.md-2,Preamble / Introduction / Background,data,have long-term value,serves as resource for future research and teaching,academia,university management,intrinsic value,"data, have long-term value, serves as resource for future research and teaching","data, have long-term value, serves as resource for future research and teaching for the benefit of the academia"
technical-university-vienna.md-2,Preamble / Introduction / Background,data,have long-term value,because validates research findings,society,university management,intrinsic value,"data, have long-term value, because validates research findings","data, have long-term value, because validates research findings for the benefit of the society"
technical-university-vienna.md-2,Preamble / Introduction / Background,data,have long-term value,serves as resource for future research and teaching,society,university management,intrinsic value,"data, have long-term value, serves as resource for future research and teaching","data, have long-term value, serves as resource for future research and teaching for the benefit of the society"
technische-universität-berlin-tu-berlin.md-2,Preamble / Introduction / Background,data,is valuable,"because supports research, science and knowledge",research,university management,intrinsic value,"data, is valuable, because supports research, science and knowledge","data, is valuable, because supports research, science and knowledge for the benefit of the research"
technische-universität-berlin-tu-berlin.md-2,Preamble / Introduction / Background,data,is valuable,"because supports research, science and knowledge",society,university management,intrinsic value,"data, is valuable, because supports research, science and knowledge","data, is valuable, because supports research, science and knowledge for the benefit of the society"
the-open-university.md-11,Ensuring access / Sharing,data,if continuing value,should be archived,researcher,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be archived","data, if continuing value, should be archived for the benefit of the researcher"
the-open-university.md-11,Ensuring access / Sharing,data,if continuing value,should be archived,research community,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be archived","data, if continuing value, should be archived for the benefit of the research community"
the-university-of-edinburgh.md-17,Protection of Personal Data,data,if valuable,should be covered by written agreements,parties involved,research support unit,conditional value,"data, if valuable, should be covered by written agreements","data, if valuable, should be covered by written agreements for the benefit of the parties involved"
the-university-of-edinburgh.md-22,Roles & Responsibilities,repository,if best practices are followed,value is added,researcher,researcher,conditional value,"repository, if best practices are followed, value is added","repository, if best practices are followed, value is added for the benefit of the researcher"
the-university-of-exeter.md-4,Ensuring access / Sharing,data,is a valuable asset,should be managed,university,researcher,intrinsic value,"data, is a valuable asset, should be managed","data, is a valuable asset, should be managed for the benefit of the university"
the-university-of-exeter.md-8,General provisions / Guiding principles,data,if long-term value,should be preserved,not specified,researcher,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
the-university-of-exeter.md-8,General provisions / Guiding principles,data,if long-term value,should be retained,not specified,researcher,conditional value,"data, if long-term value, should be retained","data, if long-term value, should be retained for the benefit of the not specified"
the-university-of-manchester.md-0,Preamble / Introduction / Background,data,have long-term value,because it supports academic principles,academia,university management,intrinsic value,"data, have long-term value, because it supports academic principles","data, have long-term value, because it supports academic principles for the benefit of the academia"
the-university-of-manchester.md-0,Preamble / Introduction / Background,data,have long-term value,because it supports academic principles,society,university management,intrinsic value,"data, have long-term value, because it supports academic principles","data, have long-term value, because it supports academic principles for the benefit of the society"
the-university-of-northampton.md-15,Protection of Personal Data,data,if valuable,should be covered by written agreements,parties involved,not specified,conditional value,"data, if valuable, should be covered by written agreements","data, if valuable, should be covered by written agreements for the benefit of the parties involved"
tilburg-university.md-0,Preamble / Introduction / Background,data,is valuable,because it supports academic principles,university,university management,institutional value,"data, is valuable, because it supports academic principles","data, is valuable, because it supports academic principles for the benefit of the university"
tilburg-university.md-28,Ensuring access / Sharing,data,if commercially valuable,should follow institutional protocol,not specified,researcher,conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the not specified"
ucl.md-2,Preamble / Introduction / Background,data,is a valuable asset,"because supports research, science and knowledge",university,university management,normative values,"data, is a valuable asset, because supports research, science and knowledge","data, is a valuable asset, because supports research, science and knowledge for the benefit of the university"
ucl.md-2,Preamble / Introduction / Background,data,is a valuable asset,"because supports research, science and knowledge",society,university management,normative values,"data, is a valuable asset, because supports research, science and knowledge","data, is a valuable asset, because supports research, science and knowledge for the benefit of the society"
ucl.md-5,General provisions / Guiding principles,data,if best practices are followed,maximises academic value,university,university management,conditional value,"data, if best practices are followed, maximises academic value","data, if best practices are followed, maximises academic value for the benefit of the university"
ulster-university.md-1,General provisions / Guiding principles,data,is a valuable asset,because it supports academic principles,researcher,university management,institutional value,"data, is a valuable asset, because it supports academic principles","data, is a valuable asset, because it supports academic principles for the benefit of the researcher"
ulster-university.md-1,General provisions / Guiding principles,data,is a valuable asset,because it supports academic principles,university,university management,institutional value,"data, is a valuable asset, because it supports academic principles","data, is a valuable asset, because it supports academic principles for the benefit of the university"
ulster-university.md-1,General provisions / Guiding principles,data,is a valuable asset,because it supports academic principles,research community,university management,institutional value,"data, is a valuable asset, because it supports academic principles","data, is a valuable asset, because it supports academic principles for the benefit of the research community"
universite-libre-de-bruxelles.md-3,Preamble / Introduction / Background,data,not applicable,not applicable,not applicable,not applicable,definition,"data, not applicable, not applicable","data, not applicable, not applicable for the benefit of the not applicable"
universite-libre-de-bruxelles.md-20,"Retention, Archiving, & Disposal",data,if substantiates published findings,should be preserved,not specified,researcher,conditional value,"data, if substantiates published findings, should be preserved","data, if substantiates published findings, should be preserved for the benefit of the not specified"
universite-libre-de-bruxelles.md-20,"Retention, Archiving, & Disposal",associated materials,if substantiates published findings,should be preserved,not specified,researcher,conditional value,"associated materials, if substantiates published findings, should be preserved","associated materials, if substantiates published findings, should be preserved for the benefit of the not specified"
universite-libre-de-bruxelles.md-20,"Retention, Archiving, & Disposal",data,if substantiates published findings,should be retained,not specified,researcher,conditional value,"data, if substantiates published findings, should be retained","data, if substantiates published findings, should be retained for the benefit of the not specified"
universite-libre-de-bruxelles.md-20,"Retention, Archiving, & Disposal",associated materials,if substantiates published findings,should be retained,not specified,researcher,conditional value,"associated materials, if substantiates published findings, should be retained","associated materials, if substantiates published findings, should be retained for the benefit of the not specified"
university-college-dublin.md-1,Purpose / Objective,data,have long-term value,"because supports research, science and knowledge",business,university management,intrinsic value,"data, have long-term value, because supports research, science and knowledge","data, have long-term value, because supports research, science and knowledge for the benefit of the business"
university-college-dublin.md-1,Purpose / Objective,data,have long-term value,"because supports research, science and knowledge",government,university management,intrinsic value,"data, have long-term value, because supports research, science and knowledge","data, have long-term value, because supports research, science and knowledge for the benefit of the government"
university-college-dublin.md-1,Purpose / Objective,data,have long-term value,"because supports research, science and knowledge",society,university management,intrinsic value,"data, have long-term value, because supports research, science and knowledge","data, have long-term value, because supports research, science and knowledge for the benefit of the society"
university-college-dublin.md-6,General provisions / Guiding principles,data,if continuing value,should be retained,researcher,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the researcher"
university-college-dublin.md-6,General provisions / Guiding principles,data,if continuing value,should be retained,research community,"funder, legal or discipline requirements",conditional value,"data, if continuing value, should be retained","data, if continuing value, should be retained for the benefit of the research community"
university-of-aberdeen.md-7,Ensuring access / Sharing,data,if commercially valuable,should follow institutional protocol,not applicable,"funder, legal or discipline requirements",conditional value,"data, if commercially valuable, should follow institutional protocol","data, if commercially valuable, should follow institutional protocol for the benefit of the not applicable"
university-of-abertay-dundee.md-2,General provisions / Guiding principles,data,if long-term value,should be preserved,not specified,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the not specified"
university-of-abertay-dundee.md-2,General provisions / Guiding principles,data,if long-term value,should remain accessible,not specified,not specified,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the not specified"
university-of-abertay-dundee.md-6,Implementation,data,if long-term value,should follow institutional protocol,not specified,university management,conditional value,"data, if long-term value, should follow institutional protocol","data, if long-term value, should follow institutional protocol for the benefit of the not specified"
university-of-abertay-dundee.md-7,General provisions / Guiding principles,data,if long-term value,should be preserved,research community,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the research community"
university-of-abertay-dundee.md-7,General provisions / Guiding principles,data,if long-term value,should be published/shared,research community,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the research community"
university-of-abertay-dundee.md-7,General provisions / Guiding principles,data,if long-term value,should be preserved,society,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the society"
university-of-abertay-dundee.md-7,General provisions / Guiding principles,data,if long-term value,should be published/shared,society,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the society"
university-of-abertay-dundee.md-11,General provisions / Guiding principles,data,if long-term value,should remain accessible,university,not specified,conditional value,"data, if long-term value, should remain accessible","data, if long-term value, should remain accessible for the benefit of the university"
university-of-abertay-dundee.md-12,General provisions / Guiding principles,data,if long-term value,should be preserved,research community,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the research community"
university-of-abertay-dundee.md-12,General provisions / Guiding principles,data,if long-term value,should be published/shared,research community,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the research community"
university-of-abertay-dundee.md-12,General provisions / Guiding principles,data,if long-term value,should be preserved,society,not specified,conditional value,"data, if long-term value, should be preserved","data, if long-term value, should be preserved for the benefit of the society"
university-of-abertay-dundee.md-12,General provisions / Guiding principles,data,if long-term value,should be published/shared,society,not specified,conditional value,"data, if long-term value, should be published/shared","data, if long-term value, should be published/shared for the benefit of the society"
university-of-bradford.md-2,Preamble / Introduction / Background,data,is a valuable asset,should be managed,university,university management,institutional value,"data, is a valuable asset, should be managed","data, is a valuable asset, should be managed for the benefit of the university"
university-of-bradford.md-8,Preamble / Introduction / Background,data,if continuing value,should remain accessible,not specified,not specified,conditional value,"data, if continuing value, should remain accessible","data, if continuing value, should remain accessible for the benefit of the not specified"
